Entity,Year,Access to electricity (% of population),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh)
Singapore,2020,100,0.02,0,0.19
Slovakia,2020,100,50.04,0,0.83
Slovenia,2020,100,6.22,15.44,6.85
Solomon Islands,2020,73.34648,4.96,6.35,5.58
Somalia,2020,49.73087,0.1,0,0
South Africa,2020,84.38554,0.35,0,0.03
S. Sudan,2020,7.2413383,197.5,11.62,12.83
Spain,2020,100,87.64,58.3,113.79
Sri Lanka,2020,100,9.64,0,5.94
Sudan,2020,55.3897,5.68,0,10.79
Suriname,2020,98.20477,0.94,0,0.98
Sweden,2020,100,2.44,49.2,112.15
Switzerland,2020,100,3.62,22.99,40.79
Tajikistan,2020,99.7793,1.62,0,18.11
Thailand,2020,100,154.52,0,24.73
Togo,2020,53.997433,0.43,0,0.15
Tonga,2020,100,0.06,0,0.01
Trinidad and Tobago,2020,100,8.2,0,0.01
Tunisia,2020,100,18.73,0,0.85
Turkey,2020,100,177.08,0,128.34
Turkmenistan,2020,100,20.11,0,0
Tuvalu,2020,99.68923,,,
Uganda,2020,42.074417,0.13,0,4.32
Ukraine,2020,100,54.5,76.2,17.56
United Arab Emirates,2020,100,119.49,1.56,5.5
United Kingdom,2020,100,124.78,50.85,131.74
United States of America,2020,100,2431.9,789.88,821.4
Uruguay,2020,100,2.4,0,11.14
Uzbekistan,2020,100,50.93,0,5.01
Vanuatu,2020,67.33327,0.05,0,0.02
Yemen,2020,73.75793,2.74,0,0.49
Zambia,2020,44.524475,2,0,13.1
Zimbabwe,2020,52.74767,3.4,0,4.19
